series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
164,NO_predictors,0,0,0.484093615
165,T_predictors,0,0,0.967021482
165,F_predictors,0,0,0.967473057
165,ALL_predictors,0,0,0.968276506
165,NO_predictors,0,0,0.966112445
166,T_predictors,0,0,0.469524839
166,F_predictors,0,0,0.336402485
166,ALL_predictors,0,0,0.430410817
166,NO_predictors,0,0,0.30477993
167,T_predictors,0,0,0.91556544
167,F_predictors,0,0,0.915558306
167,ALL_predictors,0,0,0.915565135
167,NO_predictors,0,0,0.915558313
168,T_predictors,0,0,0.97490335
168,F_predictors,0,0,0.974903388
168,ALL_predictors,0,0,0.974902891
168,NO_predictors,0,0,0.974903377
169,T_predictors,0,0,0.973253294
169,F_predictors,0,0,NA
169,ALL_predictors,0,0,0.974608924
169,NO_predictors,0,0,0.958502977
170,T_predictors,0,0,0.862649944
170,F_predictors,0,0,0.860866886
170,ALL_predictors,0,0,0.86099428
170,NO_predictors,0,0,0.771556576
171,T_predictors,0,0,0.96781059
171,F_predictors,0,0,0.97558293
171,ALL_predictors,0,0,0.975778799
171,NO_predictors,0,0,0.975031758
172,T_predictors,0,0,0.873920405
172,F_predictors,0,0,0.86331613
172,ALL_predictors,0,0,0.872061593
172,NO_predictors,0,0,0.73786374
173,T_predictors,0,0,0.994330202
173,F_predictors,0,1,0.995503753
173,ALL_predictors,0,1,0.995229215
173,NO_predictors,0,0,NA
174,T_predictors,0,0,0.992345192
174,F_predictors,0,0,0.993128044
174,ALL_predictors,0,0,0.993726428
174,NO_predictors,0,0,0.991470511
175,T_predictors,0,0,0.989794992
175,F_predictors,0,0,0.982180387
175,ALL_predictors,0,0,0.985670144
175,NO_predictors,0,0,0.974965238
176,T_predictors,0,0,0.940207458
176,F_predictors,0,0,0.91163033
176,ALL_predictors,0,0,0.934803994
176,NO_predictors,0,0,0.915136985
177,T_predictors,0,0,0.865325501
177,F_predictors,0,0,0.869807339
177,ALL_predictors,0,0,0.928649574
177,NO_predictors,0,0,0.75014794
178,T_predictors,0,0,0.697629026
178,F_predictors,0,0,0.518342945
178,ALL_predictors,0,0,0.607639921
178,NO_predictors,0,0,0.461255402
179,T_predictors,0,0,0.94607464
179,F_predictors,0,0,NA
179,ALL_predictors,0,0,0.945686354
179,NO_predictors,0,0,0.892377469
180,T_predictors,0,0,0.517473284
180,F_predictors,0,0,0.779516974
180,ALL_predictors,0,0,0.774635275
180,NO_predictors,0,0,0.487581288
181,T_predictors,0,0,0.891453324
181,F_predictors,0,0,0.794488997
181,ALL_predictors,0,0,0.892069837
181,NO_predictors,0,0,0.755667238
182,T_predictors,0,0,0.901319227
182,F_predictors,0,0,0.891372475
182,ALL_predictors,0,0,0.907540305
182,NO_predictors,0,0,0.874723719
183,T_predictors,0,1,0.993042192
183,F_predictors,0,0,0.994163197
183,ALL_predictors,0,0,0.994161071
183,NO_predictors,0,0,NA
184,T_predictors,0,0,0.948236409
184,F_predictors,0,0,0.935724258
184,ALL_predictors,0,0,0.956221177
184,NO_predictors,0,0,0.916953233
185,T_predictors,0,0,0.754983872
185,F_predictors,0,0,0.808353375
