series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
96,"ALL_predictors",1,1,0.991115604906503
96,"NO_predictors",0,0,NA
97,"T_predictors",0,0,0.710947759110432
97,"F_predictors",0,0,0.717390853820608
97,"ALL_predictors",0,0,0.731129487841169
97,"NO_predictors",0,0,0.711203637045326
98,"T_predictors",0,0,0.926661183491809
98,"F_predictors",0,0,0.88394179360002
98,"ALL_predictors",0,0,0.92746317383264
98,"NO_predictors",0,0,0.87158393322632
99,"T_predictors",0,0,0.930071807257592
99,"F_predictors",0,0,0.930983054219472
99,"ALL_predictors",0,1,0.943890145183057
99,"NO_predictors",0,0,0.930608648151251
100,"T_predictors",1,1,0.661308975255962
100,"F_predictors",1,1,0.651917591249843
100,"ALL_predictors",1,1,0.648001440211057
100,"NO_predictors",0,1,0.632290134407386
101,"T_predictors",0,0,0.562091890277777
101,"F_predictors",0,0,0.555754148112254
101,"ALL_predictors",0,0,NA
101,"NO_predictors",0,0,0.435434236200258
102,"T_predictors",1,1,0.969422744365467
102,"F_predictors",0,0,NA
102,"ALL_predictors",1,1,0.962203552292902
102,"NO_predictors",1,1,0.968235357526496
103,"T_predictors",0,0,0.953181227996845
103,"F_predictors",0,0,0.936511399804929
103,"ALL_predictors",0,0,0.95642756086961
103,"NO_predictors",0,0,0.827726043416073
104,"T_predictors",0,0,0.889960606989718
104,"F_predictors",0,0,0.884826956857487
104,"ALL_predictors",0,0,0.89001771651122
104,"NO_predictors",0,0,0.884773370563758
105,"T_predictors",0,0,0.974597363339026
105,"F_predictors",0,1,0.97622197592223
105,"ALL_predictors",0,0,0.976221991522264
105,"NO_predictors",0,0,0.9745973630755
106,"T_predictors",0,0,0.864070093268937
106,"F_predictors",0,0,0.875594391546504
106,"ALL_predictors",0,0,0.869963828143652
106,"NO_predictors",0,1,0.79063768960637
107,"T_predictors",0,0,0.872062689325623
107,"F_predictors",0,0,0.846041135712048
107,"ALL_predictors",0,0,0.87435962270043
107,"NO_predictors",0,0,0.687212755069612
108,"T_predictors",0,0,0.955487546183162
108,"F_predictors",0,0,0.706657562632944
108,"ALL_predictors",0,1,0.939244824893091
108,"NO_predictors",0,1,0.580388615808892
109,"T_predictors",1,1,0.931544728078651
109,"F_predictors",0,0,0.930164716161609
109,"ALL_predictors",0,0,0.934435070201883
109,"NO_predictors",0,1,0.912997290872695
110,"T_predictors",0,0,0.937580613516129
110,"F_predictors",0,0,0.937580175051963
110,"ALL_predictors",0,0,0.937580143741661
110,"NO_predictors",0,0,0.937580661943156
111,"T_predictors",0,0,0.694740524950295
111,"F_predictors",0,0,0.627051709631898
111,"ALL_predictors",0,0,0.775454048028876
111,"NO_predictors",0,0,0.599867715247542
112,"T_predictors",0,0,0.951124762807454
112,"F_predictors",0,0,0.949985435290591
112,"ALL_predictors",0,0,0.952529841063345
112,"NO_predictors",0,0,0.914179698412182
113,"T_predictors",0,0,0.984432120658285
113,"F_predictors",0,0,0.97246223607812
113,"ALL_predictors",0,0,0.984349893318699
113,"NO_predictors",0,0,0.945930745728173
114,"T_predictors",0,0,0.777216566934338
114,"F_predictors",0,0,0.73731840428592
114,"ALL_predictors",0,0,0.753761057199923
114,"NO_predictors",0,0,0.762132945532369
115,"T_predictors",0,0,0.847331872775596
115,"F_predictors",0,0,0.820378774354592
115,"ALL_predictors",0,0,0.820313648422839
115,"NO_predictors",0,0,0.798082171541626
116,"T_predictors",0,0,0.930386971649822
116,"F_predictors",0,0,0.930386991467605
116,"ALL_predictors",0,0,0.932137057814209
116,"NO_predictors",0,0,0.930386869048853
117,"T_predictors",0,0,0.974838615470325
117,"F_predictors",0,0,0.972026894819099
117,"ALL_predictors",0,0,0.974838710758993
117,"NO_predictors",0,0,0.971349045235851
118,"T_predictors",0,0,0.953404163605406
118,"F_predictors",0,0,0.953479686433047
118,"ALL_predictors",0,0,0.953367641102766
118,"NO_predictors",0,0,0.951099339093422
119,"T_predictors",0,0,0.984739026567515
119,"F_predictors",0,0,0.988377156129626
119,"ALL_predictors",0,0,0.989669301208224
119,"NO_predictors",0,0,0.637023255319819
120,"T_predictors",0,0,0.982845745500224
120,"F_predictors",0,0,0.980677355691816
120,"ALL_predictors",0,0,0.982845760078843
120,"NO_predictors",0,0,0.982455743514705
121,"T_predictors",0,0,0.948494060444544
121,"F_predictors",0,0,0.865042734508161
121,"ALL_predictors",0,0,0.946844141719529
121,"NO_predictors",0,0,0.747788633804087
122,"T_predictors",1,1,0.982793318433888
122,"F_predictors",0,0,0.982026056338405
122,"ALL_predictors",0,0,NA
122,"NO_predictors",0,0,0.98085898827395
123,"T_predictors",0,0,0.83493279870868
123,"F_predictors",0,0,0.77008212756204
123,"ALL_predictors",0,0,0.834719700946529
123,"NO_predictors",0,0,0.769473898425599
124,"T_predictors",0,0,0.843679215178014
124,"F_predictors",0,0,0.837469250419802
124,"ALL_predictors",1,1,0.803906945313993
124,"NO_predictors",0,0,0.520342540497613
125,"T_predictors",0,0,0.875521761591281
125,"F_predictors",0,0,0.789513348530037
125,"ALL_predictors",0,0,0.875169395090416
125,"NO_predictors",0,0,0.830943253859103
126,"T_predictors",0,1,0.926834772153746
126,"F_predictors",0,0,0.858858040700053
126,"ALL_predictors",0,1,0.927168555679628
126,"NO_predictors",0,0,0.797964433348853
127,"T_predictors",1,1,0.877016934802649
127,"F_predictors",1,1,0.86977591207581
127,"ALL_predictors",1,1,0.884556618423434
127,"NO_predictors",1,1,0.835350987253136
128,"T_predictors",0,0,0.716779478770766
128,"F_predictors",0,0,0.67706129787233
128,"ALL_predictors",0,0,0.757895551395618
128,"NO_predictors",0,0,0.617331183880171
129,"T_predictors",1,1,0.913037199793942
129,"F_predictors",1,1,0.913037200780709
129,"ALL_predictors",1,1,0.91303720087966
129,"NO_predictors",0,0,0.809340355693186
130,"T_predictors",0,0,0.794600747688015
130,"F_predictors",0,0,0.807800921269503
130,"ALL_predictors",0,0,0.814914923399609
130,"NO_predictors",0,0,0.794600435817808
131,"T_predictors",0,0,0.871829451289572
131,"F_predictors",0,0,0.887951829760799
131,"ALL_predictors",0,0,0.894259796446647
131,"NO_predictors",0,0,0.883603614682201
132,"T_predictors",1,1,0.869050528450759
132,"F_predictors",0,1,0.559020389106422
132,"ALL_predictors",1,1,0.869809886411231
132,"NO_predictors",0,0,0.261539397020063
133,"T_predictors",0,0,0.875856172167078
133,"F_predictors",0,0,0.547759527901613
133,"ALL_predictors",0,0,0.876959745955108
133,"NO_predictors",0,0,0.533652851389441
134,"T_predictors",0,0,0.876584326661465
134,"F_predictors",0,0,0.842553004698843
134,"ALL_predictors",0,0,0.857295232751878
134,"NO_predictors",0,0,0.829658458759718
135,"T_predictors",0,1,0.968348619540052
135,"F_predictors",0,0,0.942958722331982
135,"ALL_predictors",0,0,0.945098511432274
135,"NO_predictors",0,0,0.937289754283692
136,"T_predictors",0,0,0.952787679345118
136,"F_predictors",0,0,0.95278769014235
136,"ALL_predictors",0,0,0.952787678267521
136,"NO_predictors",0,0,0.952786427747173
137,"T_predictors",0,0,0.954690353958729
137,"F_predictors",0,0,0.933245810940108
137,"ALL_predictors",0,0,0.954690879368817
137,"NO_predictors",0,0,0.891237216382619
138,"T_predictors",0,0,0.805032152618247
138,"F_predictors",0,0,0.83236465783142
138,"ALL_predictors",0,0,0.805032132164011
138,"NO_predictors",0,0,0.62656819187814
139,"T_predictors",0,0,0.581629950869041
139,"F_predictors",0,0,0.625383435297979
139,"ALL_predictors",0,0,0.643153740890144
139,"NO_predictors",0,0,0.542963138375118
